No.,単語,品詞,意味１,意味２,意味３,意味４
245,甚し（いたし）,形容詞,〈「いたく（う）」の形で〉たいそう・ひどく,すばらしい・非常に良い,〈打消表現をともなって〉それほど（～ない）・たいして（～ない）,
246,双無し（さうなし）,形容詞,並ぶものがない・すばらしい,,,
247,左右無し（さうなし）,形容詞,あれこれ考えない・簡単だ・決められない,,,
248,果無し（はかなし）,形容詞,頼りない・むなしい・はかない,ちょっとした・取るに足りない,,
249,果果し・捗捗し（はかばかし）,形容詞,しっかりしている・頼もしい,はっきりしている,,
250,篤し（あつし）,形容詞,病気が重い・病気がちである,,,
251,未だし（まだし）,形容詞,まだ早い・時期尚早だ,不十分だ・未熟だ,,
252,ゆくりなし,形容詞,突然だ・思いがけない,,,
253,凄し（すごし）,形容詞,（ぞっとするほど）さびしい・気味が悪い,（ぞっとするほど）すばらしい,,
254,繁し・茂し（しげし）,形容詞,（草や木が）生い茂る・多い,わずらわしい,しきりだ・絶え間ない,
255,楽し（たのし）,形容詞,裕福だ・豊かだ,（現代語と同じ）楽しい・愉快だ,,
256,顕なり（あらはなり）,形容動詞,まる見えだ・はっきりと見える,,,
257,思はずなり（おもはずなり）,形容動詞,思いがけない・意外だ,〈否定的意味で〉思い通りにならない,,
258,あやにくなり,形容動詞,ひどい・はなはだしい・意地が悪い,不都合だ・残念だ・あいにくだ,,
259,斜めなり（なのめなり）,形容動詞,普通だ・ありきたりだ,いいかげんだ・不十分だ,〈鎌倉時代以降〉並々でない・格別だ,
260,おぼろけなり,形容動詞,並一通りだ,並々でない・格別だ,,
261,細やかなり・濃やかなり（こまやかなり）,形容動詞,細かい・くわしい,（色が）濃くて美しい,心がこもっている・親切だ,
262,密かなり（みそかなり）,形容動詞,ひそかだ・こっそり,,,
263,頓なり（とみなり）,形容動詞,急だ・突然だ,〈「とみに」の形で〉すぐに,,
264,うちつけなり,形容動詞,突然だ・だしぬけだ,軽率だ・失礼だ,,
265,漫ろなり（すずろなり・そぞろなり）,形容動詞,当てもない・何ということもない,思いがけない・意外だ,〈「すずろに（そぞろに）」の形で〉むやみやたらに,
266,懇ろなり（ねんごろなり）,形容動詞,丁寧だ・熱心だ,親密だ・親しい,,
267,おいらかなり,形容動詞,おっとりしている・穏やかだ,〈「おいらかに」の形で〉率直に・いっそのこと,,
268,切なり（せちなり・せつなり）,形容動詞,切実だ・痛切だ,大切だ・重要だ,〈「せちに・せつに」の形で〉しきりに・ひたすら,
269,頼り・便り（たより）,名詞,頼りにするもの・よりどころ,縁故・つて,（よい）機会・ついで,
270,心ばへ（こころばへ）,名詞,気立て・性質,心づかい,趣・情趣,
271,物語（ものがたり）,名詞,雑談・語らい・おしゃべり,物語（『源氏物語』などの物語作品〉,,
272,方便（たづき）,名詞,方法・手段,,,
273,品（しな）,名詞,身分・地位・家柄,品格・人柄,,
274,暇（いとま）,名詞,ひま・休むこと・別れ,,,
275,例（ためし）,名詞,先例・例・手本・規範,,,
276,つとめて,名詞,早朝,（何かあった日の）翌朝,,
